paper,DOI
http://orkg.org/orkg/resource/R10024,10.1016/j.trpro.2018.10.057
http://orkg.org/orkg/resource/R1004,10.1186/s12866-016-0676-9
http://orkg.org/orkg/resource/R1013,10.7717/peerj.858
http://orkg.org/orkg/resource/R1020,
http://orkg.org/orkg/resource/R11004,10.1145/3240508.3240712
http://orkg.org/orkg/resource/R11007,
http://orkg.org/orkg/resource/R11010,10.1145/3331184.3331303
http://orkg.org/orkg/resource/R11013,10.1007/s10586-018-1731-0
http://orkg.org/orkg/resource/R11016,10.1016/j.patrec.2019.11.011
http://orkg.org/orkg/resource/R11019,10.1007/978-3-319-46493-0_38
http://orkg.org/orkg/resource/R11022,10.1109/icosc.2019.8665496
http://orkg.org/orkg/resource/R11026,10.1007/978-3-319-68288-4_20
http://orkg.org/orkg/resource/R110473,10.1061/(asce)he.1943-5584.0001559
http://orkg.org/orkg/resource/R12027,10.1109/icip.2009.5414497
http://orkg.org/orkg/resource/R12033,10.23919/eusipco.2019.8902580
http://orkg.org/orkg/resource/R12039,10.1109/lsp.2015.2397034
http://orkg.org/orkg/resource/R12043,10.1109/tmm.2019.2941270
http://orkg.org/orkg/resource/R12048,10.1109/icip.2014.7026139
http://orkg.org/orkg/resource/R12052,10.1109/jetcas.2016.2606550
http://orkg.org/orkg/resource/R12100,10.1109/cbmi.2012.6269806
http://orkg.org/orkg/resource/R12182,10.1016/j.cor.2014.08.021
http://orkg.org/orkg/resource/R12183,10.1016/j.cor.2014.08.021
http://orkg.org/orkg/resource/R12184,10.1016/j.cor.2014.08.021
http://orkg.org/orkg/resource/R12185,10.1016/j.cor.2014.08.021
http://orkg.org/orkg/resource/R12186,10.1149/1.2042910
http://orkg.org/orkg/resource/R12204,10.1007/s11002-019-09505-8
http://orkg.org/orkg/resource/R12207,10.18653/v1/n19-1423
http://orkg.org/orkg/resource/R12208,10.18653/v1/n19-1423
http://orkg.org/orkg/resource/R12209,10.18653/v1/n19-1423
http://orkg.org/orkg/resource/R12210,10.18653/v1/n19-1423
http://orkg.org/orkg/resource/R12211,10.18653/v1/n19-1423
http://orkg.org/orkg/resource/R12212,10.18653/v1/n19-1423
http://orkg.org/orkg/resource/R12213,10.1007/s13222-019-00315-w
http://orkg.org/orkg/resource/R12220,10.1016/S0140-6736(20)30260-9
http://orkg.org/orkg/resource/R12223,10.1101/2020.01.23.916726
http://orkg.org/orkg/resource/R12226,10.1101/2020.01.25.919787
http://orkg.org/orkg/resource/R12228,10.1101/2020.01.25.919787
http://orkg.org/orkg/resource/R12231,10.1101/2020.01.23.20018549
http://orkg.org/orkg/resource/R12233,10.2139/ssrn.3524675
http://orkg.org/orkg/resource/R12235,10.1101/2020.01.27.20018952
http://orkg.org/orkg/resource/R12237,10.1101/2020.01.23.916395
http://orkg.org/orkg/resource/R12239,10.1101/2020.01.23.916395
